topology,phase,version,host,step,value,unit
cross,teardown,after,104,last_peer_crypto,0.002140315000360715,phase wall seconds per 1000 endpoints
cross,teardown,before,103,bridge_reset,0,phase wall seconds per 1000 endpoints
cross,teardown,before,104,bridge_reset,0,phase wall seconds per 1000 endpoints
cross,teardown,after,103,bridge_reset,0.22077776199876098,phase wall seconds per 1000 endpoints
cross,teardown,after,104,bridge_reset,0.20146114900126122,phase wall seconds per 1000 endpoints
cross,teardown,before,103,namespace_remove,0,phase wall seconds per 1000 endpoints
cross,teardown,before,104,namespace_remove,0,phase wall seconds per 1000 endpoints
cross,teardown,after,103,namespace_remove,0,phase wall seconds per 1000 endpoints
cross,teardown,after,104,namespace_remove,0,phase wall seconds per 1000 endpoints
cross,teardown,before,103,residual,0.005248928001492459,phase wall seconds per 1000 endpoints
cross,teardown,before,104,residual,0.005278315998111793,phase wall seconds per 1000 endpoints
cross,teardown,after,103,residual,0.0027604130027611973,phase wall seconds per 1000 endpoints
cross,teardown,after,104,residual,0.0026840499976970023,phase wall seconds per 1000 endpoints
cross,teardown,before,103,endpoint_total,40.83580248399994,phase wall seconds per 1000 endpoints
cross,teardown,before,104,endpoint_total,42.794805046999954,phase wall seconds per 1000 endpoints
cross,teardown,after,103,endpoint_total,1.1422001740011183,phase wall seconds per 1000 endpoints
cross,teardown,after,104,endpoint_total,1.0044176560004416,phase wall seconds per 1000 endpoints
cross,teardown,before,103,pool_finalize,0,phase wall seconds per 1000 endpoints
cross,teardown,before,104,pool_finalize,0,phase wall seconds per 1000 endpoints
cross,teardown,after,103,pool_finalize,18.89509747500051,phase wall seconds per 1000 endpoints
cross,teardown,after,104,pool_finalize,19.400908868999977,phase wall seconds per 1000 endpoints
cross,teardown,before,103,final_total,40.83580248399994,phase wall seconds per 1000 endpoints
cross,teardown,before,104,final_total,42.794805046999954,phase wall seconds per 1000 endpoints
cross,teardown,after,103,final_total,20.0078421420003,phase wall seconds per 1000 endpoints
cross,teardown,after,104,final_total,20.389772473999983,phase wall seconds per 1000 endpoints
standalone_same,setup,before,103,namespace_create,66.54328065299433,mean step latency ms per endpoint
standalone_same,setup,before,104,namespace_create,65.14231340799597,mean step latency ms per endpoint
standalone_same,setup,after,103,namespace_create,4.886604851983066,mean step latency ms per endpoint
standalone_same,setup,after,104,namespace_create,4.868656473012379,mean step latency ms per endpoint
standalone_same,setup,before,103,endpoint_veth,1.0185169599935762,mean step latency ms per endpoint
standalone_same,setup,before,104,endpoint_veth,0.9866912810084614,mean step latency ms per endpoint
standalone_same,setup,after,103,endpoint_veth,3.126115906979976,mean step latency ms per endpoint
standalone_same,setup,after,104,endpoint_veth,3.1345602559886174,mean step latency ms per endpoint
standalone_same,setup,before,103,namespace_address,76.02509606602052,mean step latency ms per endpoint
standalone_same,setup,before,104,namespace_address,74.37643777899939,mean step latency ms per endpoint
standalone_same,setup,after,103,namespace_address,0.0,mean step latency ms per endpoint
standalone_same,setup,after,104,namespace_address,0.0,mean step latency ms per endpoint
standalone_same,setup,before,103,endpoint_namespace,2.177253055998335,mean step latency ms per endpoint
standalone_same,setup,before,104,endpoint_namespace,2.170608549010467,mean step latency ms per endpoint
standalone_same,setup,after,103,endpoint_namespace,7.33440056400832,mean step latency ms per endpoint
standalone_same,setup,after,104,endpoint_namespace,7.546225752010287,mean step latency ms per endpoint
standalone_same,setup,before,103,namespace_default_route,2.125382692021958,mean step latency ms per endpoint
standalone_same,setup,before,104,namespace_default_route,2.1330509770023127,mean step latency ms per endpoint
standalone_same,setup,after,103,namespace_default_route,0.0,mean step latency ms per endpoint
standalone_same,setup,after,104,namespace_default_route,0.0,mean step latency ms per endpoint
standalone_same,setup,before,103,bridge_attach,1.3088737659891194,mean step latency ms per endpoint
